Block Lot	Planning Neighborhood	Best Stat	Best Date	building_type_id	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	BLOCK	LOT	Location 1
5880002	South Central, Other	BP ISSUED	01/24/2013 12:00:00 AM	14	2	REAR YARD VARIANCE FOR NEW CONSTRUCTION OF A 2-UNIT BLDG.	DEMOLISH A 1 STORY HARDWARE RETAIL STORE	Residential	RM-1	92	0	0	0	0	0	0	0	200412010421	09/28/2006 12:00:00 AM	12/01/2004 12:00:00 AM	40-X	RM-1	12/01/2004 12:00:00 AM	Resident	2	-2250	0	0	0	0	-2250	0	5880	2	"2350 San Bruno Av
(37.733184, -122.406229)"
0343014	Downtown	BP REINSTATED	03/10/2009 12:00:00 AM	4	32	Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.	ERECT 4 STORY RESIDENTIAL, RETAIL & PARKING BUILDING	Mixed Use	RC-4	296	3060	0	0	0	0	3060	0	200608230323	03/16/2005 12:00:00 AM	08/23/2006 12:00:00 AM	80-120-T	RC-4	03/16/2005 12:00:00 AM	Mixres	32	3060	0	0	0	0	3060	0	343	14	"181 Turk St
(37.783044, -122.4120441)"
4143008	Mission	BP ISSUED	03/12/2009 12:00:00 AM	14	2		VERTICAL ADDITION WITH STUDIO APT. ON GROUNDFLOOR	Residential	RH-2	171	0	0	0	0	0	0	0	200503298688		03/29/2005 12:00:00 AM	40-X	RH-2	03/29/2005 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	4143	8	"948 Hampshire St
(37.756913, -122.40785)"
3775063	East SoMa	BP APPROVED	02/08/2011 12:00:00 AM	9	1	Demolition of one-story light industrial building and construction of 3-story building--two floors of commercial space with residential unit above.	ERECT 1 STORY OF 1 DWELLING UNITS.	Mixed Use	SPD	693	3861	3861	0	0	0	0	0	200504281137	04/28/2005 12:00:00 AM	04/28/2005 12:00:00 AM	40-X	SPD	04/28/2005 12:00:00 AM	Mixres	1	2431	0	0	3861	-1430	0	0	3775	63	"136 South Park Av
(37.78146, -122.394685)"
1453033	Richmond	BP ISSUED	01/13/2012 12:00:00 AM	14	1		2 FAMILY RESIDENCES ADDITION & REMODELING	Residential	RM-1	677	0	0	0	0	0	0	0	200505273609		05/27/2005 12:00:00 AM	40-X	RM-1	05/27/2005 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	1453	33	"346 22nd Av
(37.7812717, -122.481498)"
5327038	BVHP Area A,B	BP ISSUED	03/29/2011 12:00:00 AM	14	2		ERECT 2 DWELLING UNITS OF 4 STORIES.	Residential	RH-2	406	0	0	0	0	0	0	0	200507137493		07/13/2005 12:00:00 AM	40-X	RH-2	07/13/2005 12:00:00 AM	Resident	2	0	0	0	0	0	0	0	5327	38	"1665 Palou Av
(37.734545, -122.392226)"
3594016	Mission	BP APPROVED	10/21/2010 12:00:00 AM	4	6	Conversion of an automotive garage to six 3-BR, 2-BA units on two floors above garage.	TO ERECT 4 STORY 6 DWELLING UNITS	Mixed Use	NC-2	188	0	0	0	0	0	0	0	200512200747	08/23/2005 12:00:00 AM	12/20/2005 12:00:00 AM	45-X	NC-2	08/23/2005 12:00:00 AM	Resident	6	-4750	0	0	0	-4750	0	0	3594	16	"3360 20th St
(37.759027, -122.416153)"
7107019	Ingleside, Other	BP APPROVED	12/20/2012 12:00:00 AM	14	2		TO ERECT A NEW 2 STORY 2 DWELLING UNIT	Residential	RH-2	20	0	0	0	0	0	0	0	200509072195		09/07/2005 12:00:00 AM	40-X	RH-2	09/07/2005 12:00:00 AM	Resident	2	0	0	0	0	0	0	0	7107	19	"156 Broad St
(37.71332, -122.457724)"
0619012	Northeast	BP ISSUED	11/17/2008 12:00:00 AM	4	35	The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two subsurface levels accessed from Washington Street, in the RC-4 District.  A 1,625-gsf ground-floor retail unit would face approximately half of the Van Ness Ave frontage, while a glazed residential corridor would wrap around Washington Street to Van Ness.  Former underground storage tanks (USTs) are certified as closed.	TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.	Mixed Use	RC-4	343	1625	0	0	0	0	1625	0	200602215057	12/20/2005 12:00:00 AM	02/21/2006 12:00:00 AM	80-D	RC-4	12/20/2005 12:00:00 AM	Mixres	35	1625	0	0	0	0	1625	0	619	12	"1860 Van Ness Av
(37.7929109, -122.422414)"
3616007	Mission	BP ISSUED	06/07/2013 12:00:00 AM	4	114	The project is a PUD and new construction of up to 125 units of residential over ground floor commercial on the site of to-be-demolished Giant Value store, adjacent to the New Mission Theater, which would be renovated to include theater, restaurant, and bar as part of the project.  Two levels of underground parking for 110 vehicles would be accessed from Bartlett Street.  The project would be 5 to 8 stories in height and 215,000-gsf.	ERECT NEW TYPE I BUILDING (RETAIL, MULTI-FAMILY RESIDENTIAL & PARKING)	Mixed Use	Mission Street	176	0	0	0	0	0	0	0	201301168124	12/21/2005 12:00:00 AM	01/16/2013 12:00:00 AM	85-X	Mission St NCT	12/21/2005 12:00:00 AM	Resident	114	0	0	0	0	0	0	0	3616	7	"2558 Mission St
(37.75611, -122.418986)"
7060020	Ingleside, Other	BP ISSUED	09/03/2008 12:00:00 AM	14	1		TO ERECT A NEW 2 STORY SINGLE FAMILY DWELLING UNIT	Residential	RH-1	26	0	0	0	0	0	0	0	200601051583		01/05/2006 12:00:00 AM	40-X	RH-1	01/05/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	7060	20	"192 Majestic Av
(37.71576, -122.453084)"
4829010	BVHP Area A,B	BP APPROVED	11/04/2008 12:00:00 AM	4	8	Demolition of the existing 3,900 sq. ft. industrial building and subdivide the parcel into four lots. New construction of four- two unit duplexes on each newly created parcels.	four permits for four duplexes, 8 total	Residential	RH-2	388	0							200710044644	01/11/2006 12:00:00 AM	10/04/2007 12:00:00 AM	40-X	RH-2	01/11/2006 12:00:00 AM	Resident	8	-3900				-3900			4829	10	"2105 Keith St
(37.727957, -122.390551)"
1069004	Richmond	BP ISSUED	08/01/2008 12:00:00 AM	14	2	DEMOLITION SFD	ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING	Residential	RH-2	687	0	0	0	0	0	0	0	200602134511	05/29/2007 12:00:00 AM	02/13/2006 12:00:00 AM	40-X	RH-2	02/13/2006 12:00:00 AM	Resident	2	0	0	0	0	0	0	0	1069	4	"21 Wood St
(37.7834228, -122.4493226)"
3834001	Showpl/Potrero	BP ISSUED	09/07/2012 12:00:00 AM	4	65	The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow the width of Daggett Street.	ERECT 6 STORY 65 UNITS RESIDENTIAL & COMMERCIAL BUILDING.	Mixed Use	UMU	651	26500	0	0	0	0	26500	0	201112070227	02/23/2006 12:00:00 AM	12/07/2011 12:00:00 AM	68-X	UMU	02/23/2006 12:00:00 AM	Mixres	65	26500	0	0	0	0	26500	0	3833	1	"1000 16th St
(37.76649, -122.396988)"
5619057	Bernal Heights	BP REINSTATED	12/11/2012 12:00:00 AM	14	1		ERECT 3 STORY SINGLE FAMILY DWELLING	Residential	RH-1	447	0	0	0	0	0	0	0	200603015694		03/01/2006 12:00:00 AM	40-X	RH-1	03/01/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	5619	57	"133 Elsie St
(37.742368, -122.417814)"
5825007	Bernal Heights	BP ISSUED	08/30/2012 12:00:00 AM	4	6	Construction of three new two-unit buildings - steep grade on lot requires parking variance for lot 9.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	200603025880	07/10/2006 12:00:00 AM	03/02/2006 12:00:00 AM	40-X	RH-2	03/02/2006 12:00:00 AM	Resident	6	0	0	0	0	0	0	0	5825	7	"782-786 Andover St
(37.733671, -122.417086)"
5825009	Bernal Heights	BP ISSUED	08/30/2012 12:00:00 AM	14	2	Construction of three new two-unit buildings.  Total project would be six new residential units on three vacant lots.	TO ERECT 3 STORY S FAMILY DWELLING	Residential	RH-2	87	0	0	0	0	0	0	0	200603025880	07/10/2006 12:00:00 AM	03/02/2006 12:00:00 AM	40-X	RH-2	03/02/2006 12:00:00 AM	Resident	2	0	0	0	0	0	0	0	5825	9	"794 Andover St
(37.733593, -122.41701)"
5825008	Bernal Heights	BP ISSUED	03/27/2013 12:00:00 AM	14	2		ERECT 3 STORIES 2 DWELLING UNITS  BLDG.	Residential	RH-2	87	0	0	0	0	0	0	0	200603025881		03/02/2006 12:00:00 AM	40-X	RH-2	03/02/2006 12:00:00 AM	Resident	2	0	0	0	0	0	0	0	5825	8	"790 Andover St
(37.733619, -122.417035)"
3732087	East SoMa	BP ISSUED	05/30/2013 12:00:00 AM	14	1	Change of use from industrial warehouse to residential single family dwelling with remodel and expansion of building.	VERTICAL ADDITION IN BUILDING. CONVERT PROPERTY TO RESIDENTIAL. REMODEL EXISTING 2 STORIES. ADD 1 NE	Mixed Use	MUR	628	0	0	0	0	0	0	0	201108112225	04/06/2006 12:00:00 AM	08/11/2011 12:00:00 AM	45-X	MUR	04/06/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	3732	87	"457 Tehama St
(37.780007, -122.405495)"
